3,0.333,0.319
6,0.407,0.403
9,0.459,0.445
12,0.493,0.47
15,0.519,0.492
18,0.546,0.509
21,0.571,0.524
24,0.596,0.539
27,0.616,0.55
30,0.633,0.562
33,0.649,0.573
36,0.666,0.582
39,0.676,0.59
42,0.688,0.596
45,0.701,0.603
48,0.712,0.607
51,0.722,0.611
54,0.73,0.615
57,0.737,0.618
60,0.744,0.622
63,0.749,0.622
66,0.755,0.624
69,0.76,0.625
72,0.763,0.626
75,0.765,0.627
78,0.77,0.628
81,0.771,0.628
84,0.774,0.629
87,0.776,0.63
90,0.778,0.63
93,0.779,0.63
96,0.78,0.629
99,0.782,0.63
